category_name,subCategory_name,item_type
Lighting,Fan,Ceiling Fan with Light
Lighting,Fan,Outdoor Ceiling Fan
Lighting,Fan,Indoor Ceiling Fan
Lighting,Fan,Ceiling Fan with Remote
Lighting,Fan,Ceiling Fan Part
Lighting,Fan,Wall Mounted Fan
Lighting,Fan,Ceiling Mounted Fan
Lighting,Fan,Exhaust Fan
Lighting,Fan,Tower Fan
Lighting,Lamp,Table Lamp
Lighting,Lamp,Floor Lamp
Lighting,Lamp,Lamp Shade
Lighting,Lamp,Desk Lamp
Lighting,Lamp,Wall Lamp
Lighting,Lamp,Lamp Base
Lighting,Lamp,Lamp Set
Lighting,Cupboard Light,Under Cabinet Lighting
Lighting,Cupboard Light,LED Strip Light
Lighting,Cupboard Light,Puck Light
Lighting,Commercial Lighting,Shop Light
Lighting,Commercial Lighting,Strip Light Fixture
Lighting,Commercial Lighting,High Bay Light
Lighting,Commercial Lighting,Wraparound Light
Lighting,Commercial Lighting,Grow Light
Lighting,Commercial Lighting,Wall Pack
Lighting,Commercial Lighting,Troffer
Lighting,Commercial Lighting,Work Light
Lighting,Outdoor Lighting,Outdoor Wall Light
Lighting,Outdoor Lighting,Security Light
Lighting,Outdoor Lighting,Landscaping Light
Lighting,Outdoor Lighting,Ceiling Light
Lighting,Outdoor Lighting,Deck Light
Lighting,Outdoor Lighting,String Light
Lighting,Outdoor Lighting,Post Light
Lighting,Outdoor Lighting,Outdoor Lamp
Lighting,Outdoor Lighting,Outdoor Ceiling Light
Lighting,Outdoor Lighting,HPSV Lamp
Lighting,Flash Light,Handheld Flashlight
Lighting,Flash Light,Handsfree Flashlight
Lighting,Flash Light,Headlamp
Lighting,Flash Light,Lantern
Lighting,Flash Light,Pen Flashlight
Lighting,Flash Light,Keychain & Mini Flashlight
Lighting,Flash Light,Flashlight Bulb
Kitchen,Faucet,Tap
Kitchen,Faucet,One Handle Mixer
Kitchen,Faucet,Two Handle Mixer
Kitchen,Faucet,Touchless
Kitchen,Faucet,Pull Out/ Down / Pre Rinse
Kitchen,Sink,Drop-In
Kitchen,Sink,Undermount
Kitchen,Sink,Bar
Kitchen,Sink,Stainless Steel
Kitchen,Sink,Single Bowl
Kitchen,Sink,Doouble Bowl
Kitchen,Sink,Triple Bowl
Kitchen,Counter Splashback,Ceramic Tile
Kitchen,Counter Splashback,Vitrified Tile
Kitchen,Counter Splashback,Glazed Tile
Kitchen,Counter Splashback,Indian Marble
Kitchen,Counter Splashback,Indian Granite
Kitchen,Counter Splashback,Imported Marble
Kitchen,Counter Splashback,Imported Granite
Kitchen,Counter Splashback,Solid Surface
Kitchen,Counter Splashback,Tinted Glass
Kitchen,Counter Splashback,Quartz
Kitchen,Counter Splashback,Quartzite
Kitchen,Cabinet Structure,Commercial Ply
Kitchen,Cabinet Structure,Water Resistance/ Moisture Resistant Ply
Kitchen,Cabinet Structure,Boiling Water Resistant Ply
Kitchen,Cabinet Structure,Boiling Water Proof/ Marine Ply
Kitchen,Cabinet Structure,Commercial Board
Kitchen,Cabinet Structure,Water Resistance/ Moisture Resistant Board
Kitchen,Cabinet Structure,Boiling Water Resistant Board
Kitchen,Cabinet Structure,Boiling Water Proof/ Marine Board
Kitchen,Cabinet Structure,High Density WPC
Kitchen,Countertop,Granite
Kitchen,Countertop,Quartz
Kitchen,Countertop,Quartzite
Kitchen,Countertop,Marble
Kitchen,Countertop,Laminate
Kitchen,Countertop,Support Bracket
Kitchen,Countertop,Butcher Block
Kitchen,Countertop,Engineered Composite
Kitchen,Countertop,Solid Surface
Kitchen,Appliance,Refrigerator
Kitchen,Appliance,Coffee Machine
Kitchen,Appliance,Juicer
Kitchen,Appliance,Toaster
Kitchen,Appliance,Oven
Kitchen,Appliance,Microwave
Kitchen,Appliance,Mixer
Kitchen,Appliance,Deep Fryer
Kitchen,Appliance,Air Fryer
Kitchen,Appliance,Food Processor
Kitchen,Appliance,Cooktop/ Hob
Kitchen,Appliance,Electric Cooktop
Kitchen,Appliance,Chimney
Kitchen,Appliance,Dishwasher
Kitchen,Appliance,Water Purifier/ RO
Kitchen,Appliance,Insinkerator/ Garbage Grinder
Kitchen,Basket,General/ Multipurpose
Kitchen,Basket,Cutlery
Kitchen,Basket,Cup & Saucer
Kitchen,Basket,Plate
Kitchen,Basket,Bottle/ Detergent
Kitchen,Basket,Vertical Pantry/ Tall Unit
Kitchen,Basket,Temp. Controlled
Kitchen,Basket,Wall Mount 
Kitchen,Basket,Corner Unit
Kitchen,Basket,Dustbin
Kitchen,Basket,Pull Down 
Kitchen,Hinge,Traditional/ Classical
Kitchen,Hinge,Soft Close
Kitchen,Hinge,Adjustable Close
Kitchen,Hinge,Normal Close
Kitchen,Hinge,Push to Open
Kitchen,Hinge,Gas Lift/ Door Lift
Kitchen,Hinge,Special
Kitchen,Channel,Soft Close
Kitchen,Channel,Normal Close
